1,AND,Andorra,EUR
2,ARE,United Arab Emirates,AED
3,AFG,Afghanistan,AFN
4,ATG,Antigua And Barbuda,XCD
5,AIA,Anguilla,XCD
6,ALB,Albania,ALL
7,ARM,Armenia,AMD
8,AGO,Angola,AOA
9,ATA,Antarctica,USD
10,ARG,Argentina,ARS
11,ASM,American Samoa,USD
12,AUT,Austria,ATS
13,AUS,Australia,AUD
14,ABW,Aruba,AWG
15,ALA,Aland Islands,EUR
16,AZE,Azerbaijan,AZM
17,BIH,Bosnia And Herzegovina,BAM
18,BRB,Barbados,BBD
19,BGD,Bangladesh,BDT
20,BEL,Belgium,EUR
21,BFA,Burkina Faso,XOF
22,BGR,Bulgaria,BGN
23,BHR,Bahrain,BHD
24,BDI,Burundi,BIF
25,BEN,Benin,XOF
26,BLM,Saint Barthelemy,EUR
27,BMU,Bermuda,BMD
28,BRN,Brunei Darussalam,BND
29,BOL,Bolivia,BOB
30,BES,Bonaire,USD
31,BRA,Brazil,BRL
32,BHS,Bahamas,BSD
33,BTN,Bhutan,INR
34,BVT,Bouvet Island,NOK
35,BWA,Botswana,BWP
36,BLR,Belarus,BYB
37,BLZ,Belize,BZD
38,CAN,Canada,CAD
39,CCK,Cocos (Keeling) Islands,AUD
40,COD,Congo,CDF
41,CAF,Central African Republic,XAF
42,COG,Congo,XAF
43,CHE,Switzerland,CHF
44,CIV,Cote D'Ivoire,XOF
45,COK,Cook Islands,NZD
46,CHL,Chile,CLP
47,CMR,Cameroon,XAF
48,CHN,China,CNY
49,COL,Colombia,COP
50,CRI,Costa Rica,CRC
51,CUB,Cuba,CUP
52,CPV,Cape Verde,CVE
53,CXR,Christmas Island,AUD
54,CYP,Cyprus,CYP
55,CZE,Czech Republic,CZK
56,CUW,Curacao,USD
57,DEU,Germany,DEM
58,DJI,Djibouti,DJF
59,DNK,Denmark,DKK
60,DMA,Dominica,XCD
61,DOM,Dominican Republic,DOP
62,DZA,Algeria,DZD
63,ECU,Ecuador,ECS
64,EST,Estonia,EUR
65,EGY,Egypt,EGP
66,ESH,Western Sahara,MAD
67,ERI,Eritrea,USD
68,ESP,Spain,EUR
69,ETH,Ethiopia,ETB
70,FIN,Finland,EUR
71,FJI,Fiji,FJD
72,FLK,Falkland Islands (Malvinas),FKP
73,FSM,Micronesia,USD
74,FRO,Faroe Islands,DKK
75,FRA,France,EUR
76,GAB,Gabon,XAF
77,GBR,United Kingdom,GBP
